haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Gadus Atlantica -5-171-1983-01-26 -08:18:00
Gadus Atlantica -5-172-1983-01-26 -10:35:00
Gadus Atlantica -5-173-1983-01-26 -13:32:00
Gadus Atlantica -5-174-1983-01-26 -15:35:00
Gadus Atlantica -5-176-1983-01-26 -21:25:00
Gadus Atlantica -5-177-1983-01-26 -23:20:00
Gadus Atlantica -5-178-1983-01-27 -01:18:00
Gadus Atlantica -5-179-1983-01-27 -02:13:00
Gadus Atlantica -5-180-1983-01-27 -04:45:00
Gadus Atlantica -5-181-1983-01-27 -07:53:00
Gadus Atlantica -5-182-1983-01-27 -09:42:00
Gadus Atlantica -5-183-1983-01-27 -10:40:00
Gadus Atlantica -5-184-1983-01-27 -12:09:00
Gadus Atlantica -5-185-1983-01-27 -13:51:00
Gadus Atlantica -5-186-1983-01-27 -16:13:00
Gadus Atlantica -5-187-1983-01-27 -17:45:00
Gadus Atlantica -5-188-1983-01-27 -19:17:00
Gadus Atlantica -5-189-1983-01-27 -21:02:00
Gadus Atlantica -5-190-1983-01-27 -22:25:00
Gadus Atlantica -5-191-1983-01-28 -00:50:00
Gadus Atlantica -5-192-1983-01-28 -02:14:00
Gadus Atlantica -5-193-1983-01-28 -04:48:00
Gadus Atlantica -5-194-1983-01-28 -06:30:00
Gadus Atlantica -5-195-1983-01-28 -09:13:00
Gadus Atlantica -5-196-1983-01-28 -11:03:00
Gadus Atlantica -5-197-1983-01-28 -14:52:00
Gadus Atlantica -5-198-1983-01-28 -16:25:00
Gadus Atlantica -5-199-1983-01-28 -18:22:00
Gadus Atlantica -5-200-1983-01-28 -19:55:00
Gadus Atlantica -5-201-1983-01-28 -21:46:00
Gadus Atlantica -5-202-1983-01-28 -23:29:00
Gadus Atlantica -5-203-1983-01-29 -02:12:00
Gadus Atlantica -5-204-1983-01-29 -03:31:00
Gadus Atlantica -5-205-1983-01-29 -04:49:00
Gadus Atlantica -5-206-1983-01-29 -07:35:00
Gadus Atlantica -5-207-1983-01-29 -08:57:00
Gadus Atlantica -8-121-1986-01-21 -13:06:00
Gadus Atlantica -8-123-1986-01-21 -16:50:00
Gadus Atlantica -14-112-1992-01-29 -00:33:00
Gadus Atlantica -14-113-1992-01-29 -03:42:00
Gadus Atlantica -14-114-1992-01-29 -05:46:00
Gadus Atlantica -15-86-1993-01-19 -02:32:00
Lady Hammond -2-122-1985-08-21 -05:25:00
Lady Hammond -3-92-1986-08-14 -18:24:00
Lady Hammond -4-40-1987-08-09 -17:39:00
Lady Hammond -4-148-1987-08-20 -14:00:00
Lady Hammond -4-190-1987-08-24 -21:35:00
Lady Hammond -4-191-1987-08-24 -17:55:00
Lady Hammond -4-192-1987-08-24 -19:52:00
Lady Hammond -4-193-1987-08-25 -00:46:00
Lady Hammond -4-194-1987-08-25 -12:17:00
Lady Hammond -4-195-1987-08-25 -04:12:00
Lady Hammond -4-196-1987-08-25 -10:31:00
Lady Hammond -4-197-1987-08-25 -08:00:00
Lady Hammond -5-30-1988-07-30 -10:04:00
Lady Hammond -5-195-1988-08-14 -06:46:00
Lady Hammond -5-196-1988-08-14 -08:17:00
Lady Hammond -5-197-1988-08-14 -09:53:00
Lady Hammond -5-198-1988-08-14 -11:54:00
Lady Hammond -5-199-1988-08-14 -14:45:00
Lady Hammond -5-200-1988-08-14 -17:47:00
Lady Hammond -5-201-1988-08-14 -21:34:00
Lady Hammond -5-202-1988-08-15 -00:16:00
Lady Hammond -5-203-1988-08-15 -01:41:00
Lady Hammond -5-204-1988-08-15 -05:16:00
Lady Hammond -5-205-1988-08-15 -07:35:00
Lady Hammond -5-206-1988-08-15 -09:15:00
Lady Hammond -6-13-1989-08-20 -05:19:00
Alfred Needler -1-192-1990-09-11 -04:12:00
